Название;Описание;Рэйтинг по <<KinoAfisha>>;Год и страна;Жанр;Продюсер
Красавица и чудовище;https://www.kinoafisha.info/movies/5388337/;8.3;1991, США;сказка, мелодрама;ГэриТроусдейл,КиркУайз
Властелин Колец: Две крепости;https://www.kinoafisha.info/movies/5227/;8.3;2002, США / Новая Зеландия / Германия;приключения, фэнтези;ПитерДжексон
Сумерки. Сага. Рассвет: Часть 1;https://www.kinoafisha.info/movies/8089580/;8.3;2011, США;фэнтези, мелодрама;БиллКондон
Три метра над уровнем неба;https://www.kinoafisha.info/movies/8121127/;8.3;2010, Испания;драма;ФернандоГонзалезМолина
Университет монстров;https://www.kinoafisha.info/movies/8133574/;8.2;2013, США;комедия, семейный;ДэнСкэнлон
Чужой 3;https://www.kinoafisha.info/movies/5811338/;8.2;1992, США;триллер, драма;ДэвидФинчер
Гарри Поттер и кубок огня;https://www.kinoafisha.info/movies/419476/;8.2;2005, США / Великобритания;семейный, приключения;МайкНьюэлл
Люди Икс: Начало. Росомаха;https://www.kinoafisha.info/movies/4808778/;8.2;2009, США / Новая Зеландия / Австралия;фантастика, боевик;ГэвинХуд
От заката до рассвета;https://www.kinoafisha.info/movies/5411584/;8.2;1995, США;боевик, триллер;РобертРодригес
Дитя погоды;https://www.kinoafisha.info/movies/8356367/;8.2;2019, Япония;аниме , мелодрама;МакотоСинкай
Первому игроку приготовиться;https://www.kinoafisha.info/movies/8178835/;8.2;2018, США;фантастика, боевик;СтивенСпилберг
Механик;https://www.kinoafisha.info/movies/7808964/;8.2;2011, США;драма, боевик;СаймонУэст
Служебный роман;https://www.kinoafisha.info/movies/5617111/;8.2;1977, СССР;мелодрама, комедия;ЭльдарРязанов
Рождество на двоих;https://www.kinoafisha.info/movies/8355371/;8.2;2019, США;мелодрама, комедия;ПолФиг
Темный рыцарь;https://www.kinoafisha.info/movies/3229744/;8.2;2008, США;драма, мистика;КристоферНолан
По соображениям совести;https://www.kinoafisha.info/movies/8325361/;8.2;2016, США;военный, драма;МэлГибсон
Рио;https://www.kinoafisha.info/movies/8115879/;8.2;2011, США;комедия, семейный;КарлосСалдана
300 спартанцев;https://www.kinoafisha.info/movies/924813/;8.2;2007, США;приключения, драма;ЗакСнайдер
Один вдох;https://www.kinoafisha.info/movies/8330413/;8.2;2020, Россия;спорт, драма;ЕленаХазанова
Впритык;https://www.kinoafisha.info/movies/7844927/;8.2;2010, США;комедия;ТоддФиллипс
Джокер;https://www.kinoafisha.info/movies/8354928/;8.2;2019, США;криминал, драма;ТоддФиллипс
Престиж;https://www.kinoafisha.info/movies/1068657/;8.2;2006, США / Великобритания;сказка, триллер;КристоферНолан
Значит, война;https://www.kinoafisha.info/movies/8101079/;8.2;2011, США;комедия, боевик;МакДжи
Гонка;https://www.kinoafisha.info/movies/8137329/;8.2;2012, США;биография, драма;РонХовард
Варкрафт;https://www.kinoafisha.info/movies/8158971/;8.2;2016, США;приключения, боевик;ДунканДжонс
Маска;https://www.kinoafisha.info/movies/3659042/;8.2;1994, США;фэнтези, криминал;ЧарлзРасселл
Константин: повелитель тьмы;https://www.kinoafisha.info/movies/185063/;8.2;2005, США / Германия;триллер, боевик;ФренсисЛоуренс
Дневник памяти;https://www.kinoafisha.info/movies/5676/;8.2;2004, США;драма, мелодрама;НикКассаветис
Лучшее предложение;https://www.kinoafisha.info/movies/8148232/;8.2;2013, Италия;мелодрама, драма;ДжузеппеТорнаторе
Крепкий орешек 4.0;https://www.kinoafisha.info/movies/1177771/;8.2;2007, США;приключения, триллер;ЛенУайзман
Помни меня;https://www.kinoafisha.info/movies/7737294/;8.2;2010, США;драма, мелодрама;АлленКултер
Мальчишник 2: Из Вегаса в Бангкок;https://www.kinoafisha.info/movies/8089873/;8.2;2011, США;комедия;ТоддФиллипс
Суперсемейка 2;https://www.kinoafisha.info/movies/8323488/;8.2;2018, США;анимация, детский;БрэдБерд
Робот по имени Чаппи;https://www.kinoafisha.info/movies/8169962/;8.2;2015, США / Мексика;боевик, триллер;НилБломкамп
Люди Икс: Первый класс;https://www.kinoafisha.info/movies/8092465/;8.2;2011, США;боевик, фантастика;МэттьюВон
Вольт;https://www.kinoafisha.info/movies/7588222/;8.2;2008, США;анимация, комедия;КрисУильямс
Судья Дредд;https://www.kinoafisha.info/movies/8143383/;8.2;2012, Великобритания;фантастика, боевик;ПитТрэвис
Мстители;https://www.kinoafisha.info/movies/8092771/;8.2;2012, США;боевик;ДжоссУидон
Заложница;https://www.kinoafisha.info/movies/4004541/;8.2;2008, Франция;триллер, боевик;ПьерМорель
Король говорит!;https://www.kinoafisha.info/movies/8099607/;8.2;2010, Великобритания / Австралия;драма, исторический;ТомХупер
Добро пожаловать, или Посторонним вход воспрещен;https://www.kinoafisha.info/movies/1853092/;8.2;1964, СССР;семейный, комедия;ЭлемКлимов
Голая правда;https://www.kinoafisha.info/movies/7457656/;8.2;2009, США;мелодрама, комедия;РобертЛукетич
Собачья жизнь;https://www.kinoafisha.info/movies/8326885/;8.2;2017, США;драма, комедия;ЛассеХалльстрем
Проза бродячих псов. Фильм;https://www.kinoafisha.info/movies/8354991/;8.2;2018, Япония;анимация;ТакуяИгараси
Билли Эллиот;https://www.kinoafisha.info/movies/1079521/;8.2;2000, Великобритания / Франция;драма, комедия;СтивенДолдри
Посвященный;https://www.kinoafisha.info/movies/8162637/;8.2;2014, США;фантастика, драма;ФиллипНойс
Мадагаскар 2;https://www.kinoafisha.info/movies/2179727/;8.2;2008, США;сказка, семейный;ЭрикДарнелл,ТомМакГрат
Рататуй;https://www.kinoafisha.info/movies/1102801/;8.2;2007, США;комедия, семейный;БрэдБерд,ЯнПинкава
Ангел А;https://www.kinoafisha.info/movies/611652/;8.2;2005, Франция;мелодрама, комедия;ЛюкБессон
Валериан и город тысячи планет;https://www.kinoafisha.info/movies/8320384/;8.2;2017, Франция;фантастика, боевик;ЛюкБессон
Человек-паук: Через вселенные;https://www.kinoafisha.info/movies/8353992/;8.2;2018, США;анимация, приключения;БобПерсичетти,ПитерРэмзи
Лучшее во мне;https://www.kinoafisha.info/movies/8165591/;8.2;2014, США;мелодрама, драма;МайклХоффман
Джуманджи: Зов джунглей;https://www.kinoafisha.info/movies/8319638/;8.2;2017, США;приключения, семейный;ДжейкКэздан
Рэмпейдж;https://www.kinoafisha.info/movies/8329072/;8.2;2018, США;боевик, фантастика;БрэдПейтон
Трансформеры: Месть падших;https://www.kinoafisha.info/movies/5072338/;8.2;2009, США;фантастика, приключения;МайклБэй
Дэдпул 2;https://www.kinoafisha.info/movies/8326405/;8.2;2018, США;боевик, приключения;ДэвидЛитч
Иллюзия обмана;https://www.kinoafisha.info/movies/8127812/;8.2;2013, США;криминал, триллер;ЛуиЛетерье
Неадекватные люди;https://www.kinoafisha.info/movies/8098290/;8.2;2010, Россия;комедия;РоманКаримов
Мадагаскар 3;https://www.kinoafisha.info/movies/8136598/;8.2;2012, США;анимация, семейный;ЭрикДарнелл
Предложение;https://www.kinoafisha.info/movies/7283844/;8.2;2009, США;мелодрама, комедия;ЭннФлетчер
Непрощенный;https://www.kinoafisha.info/movies/8327951/;8.2;2018, Россия;драма;СарикАндреасян
Миллионер из трущоб;https://www.kinoafisha.info/movies/5780683/;8.2;2008, Великобритания;мелодрама, драма;ДэнниБойл
Время первых;https://www.kinoafisha.info/movies/8174662/;8.2;2017, Россия;драма, исторический;ДмитрийКиселев
Время;https://www.kinoafisha.info/movies/8096881/;8.2;2011, США;фантастика;ЭндрюНиккол
После;https://www.kinoafisha.info/movies/8355420/;8.2;2019, США;драма, мелодрама;ДженниГейдж
Кома;https://www.kinoafisha.info/movies/8324836/;8.2;2019, Россия;фантастика, боевик;НикитаАргунов
Доспехи Бога;https://www.kinoafisha.info/movies/6484404/;8.2;1987, Гонконг / Югославия;приключения, боевик;ДжекиЧан
BTS: Love Yourself Tour in Seoul;https://www.kinoafisha.info/movies/8355477/;8.2;2018, Корея;документальный, музыкальный;
Исчезнувшая;https://www.kinoafisha.info/movies/8162259/;8.2;2014, США;триллер, драма;ДэвидФинчер
Величайший шоумен;https://www.kinoafisha.info/movies/8175961/;8.1;2018, США;музыкальный, биография;МайклГрэйси
Бамблби;https://www.kinoafisha.info/movies/8324309/;8.1;2018, США;фантастика, боевик;ТрэвисНайт
Крестный отец;https://www.kinoafisha.info/movies/3974172/;8.1;1972, США;драма, триллер;ФрэнсисФордКоппола
